"year","var","val","n_sim","started"
1991,"project",-70410.2200605124,1,FALSE
1991,"counterfactual",-91100.2494529784,1,FALSE
1991,"additionality",20690.0293924659,1,FALSE
1992,"project",-42513.4497447014,1,FALSE
1992,"counterfactual",-27896.7703157663,1,FALSE
1992,"additionality",-14616.6794289351,1,FALSE
1993,"project",-36440.0997812003,1,FALSE
1993,"counterfactual",-36440.0997812003,1,FALSE
1993,"additionality",0,1,FALSE
1994,"project",-47683.6993419081,1,FALSE
1994,"counterfactual",-71977.0991960466,1,FALSE
1994,"additionality",24293.3998541385,1,FALSE
1995,"project",-97173.5994165242,1,FALSE
1995,"counterfactual",-150930.648721963,1,FALSE
1995,"additionality",53757.049305439,1,FALSE
1996,"project",-181816.681250259,1,FALSE
1996,"counterfactual",-154678.515242249,1,FALSE
1996,"additionality",-27138.1660080105,1,FALSE
1997,"project",-146279.681835398,1,FALSE
1997,"counterfactual",-203265.314950466,1,FALSE
1997,"additionality",56985.6331150681,1,FALSE
1998,"project",-406760.920494378,1,FALSE
1998,"counterfactual",-251852.114658728,1,FALSE
1998,"additionality",-154908.805835649,1,FALSE
1999,"project",-369571.24740912,1,FALSE
1999,"counterfactual",-454069.833184257,1,FALSE
1999,"additionality",84498.5857751369,1,FALSE
2000,"project",-492076.812101021,1,FALSE
2000,"counterfactual",-275097.918087915,1,FALSE
2000,"additionality",-216978.894013107,1,FALSE
2001,"project",-126492.752809227,1,FALSE
2001,"counterfactual",-359366.213269636,1,FALSE
2001,"additionality",232873.46046041,1,FALSE
2002,"project",-143376.214157656,1,FALSE
2002,"counterfactual",-103477.239973471,1,FALSE
2002,"additionality",-39898.9741841853,1,FALSE
2003,"project",-252371.39736937,1,FALSE
2003,"counterfactual",-180480.092708096,1,FALSE
2003,"additionality",-71891.304661274,1,FALSE
2004,"project",-118324.209995836,1,FALSE
2004,"counterfactual",-163537.929835871,1,FALSE
2004,"additionality",45213.7198400348,1,FALSE
2005,"project",-151160.939315379,1,FALSE
2005,"counterfactual",-345797.130265623,1,FALSE
2005,"additionality",194636.190950245,1,FALSE
2006,"project",-290089.384168893,1,FALSE
2006,"counterfactual",-240224.697442293,1,FALSE
2006,"additionality",-49864.6867265999,1,FALSE
2007,"project",-406530.629900947,1,FALSE
2007,"counterfactual",-257022.364255935,1,FALSE
2007,"additionality",-149508.265645012,1,FALSE
2008,"project",-180249.802114695,1,TRUE
2008,"counterfactual",-139772.843696028,1,TRUE
2008,"additionality",-40476.9584186673,1,TRUE
2009,"project",-161126.651857764,1,TRUE
2009,"counterfactual",-269543.850835025,1,TRUE
2009,"additionality",108417.198977262,1,TRUE
