"year","var","val","n_sim","started"
1991,"project",-44474.3622242957,1,FALSE
1991,"counterfactual",-17403.0113051534,1,FALSE
1991,"additionality",-27071.3509191424,1,FALSE
1992,"project",0,1,FALSE
1992,"counterfactual",0,1,FALSE
1992,"additionality",0,1,FALSE
1993,"project",0,1,FALSE
1993,"counterfactual",0,1,FALSE
1993,"additionality",0,1,FALSE
1994,"project",0,1,FALSE
1994,"counterfactual",-3867.33584559709,1,FALSE
1994,"additionality",3867.33584559709,1,FALSE
1995,"project",0,1,FALSE
1995,"counterfactual",-7734.67169117182,1,FALSE
1995,"additionality",7734.67169117182,1,FALSE
1996,"project",0,1,FALSE
1996,"counterfactual",0,1,FALSE
1996,"additionality",0,1,FALSE
1997,"project",0,1,FALSE
1997,"counterfactual",0,1,FALSE
1997,"additionality",0,1,FALSE
1998,"project",-18555.8756493628,1,FALSE
1998,"counterfactual",-41759.8907229081,1,FALSE
1998,"additionality",23204.0150735453,1,FALSE
1999,"project",-5801.00376838446,1,FALSE
1999,"counterfactual",-1933.66792279482,1,FALSE
1999,"additionality",-3867.33584558964,1,FALSE
2000,"project",-12754.8718809858,1,FALSE
2000,"counterfactual",-21270.347150743,1,FALSE
2000,"additionality",8515.47526975721,1,FALSE
2001,"project",-19336.6792279407,1,FALSE
2001,"counterfactual",-26290.5473405421,1,FALSE
2001,"additionality",6953.86811260134,1,FALSE
2002,"project",-27736.8680632934,1,FALSE
2002,"counterfactual",-22601.3814390749,1,FALSE
2002,"additionality",-5135.48662421852,1,FALSE
2003,"project",-58010.0376838371,1,FALSE
2003,"counterfactual",-38673.3584558889,1,FALSE
2003,"additionality",-19336.6792279482,1,FALSE
2004,"project",-5863.88727807254,1,FALSE
2004,"counterfactual",-4532.85298974812,1,FALSE
2004,"additionality",-1331.03428832442,1,FALSE
2005,"project",-6377.43594048917,1,FALSE
2005,"counterfactual",-8400.18883534521,1,FALSE
2005,"additionality",2022.75289485604,1,FALSE
2006,"project",-19336.6792279556,1,FALSE
2006,"counterfactual",-52209.0339154527,1,FALSE
2006,"additionality",32872.354687497,1,FALSE
2007,"project",-79280.3848345801,1,FALSE
2007,"counterfactual",-74721.3303824663,1,FALSE
2007,"additionality",-4559.05445211381,1,FALSE
2008,"project",-13535.6754595786,1,FALSE
2008,"counterfactual",-3867.33584561199,1,FALSE
2008,"additionality",-9668.33961396664,1,FALSE
2009,"project",-27736.8680632785,1,FALSE
2009,"counterfactual",-21270.3471507356,1,FALSE
2009,"additionality",-6466.52091254294,1,FALSE
2010,"project",-13535.6754595786,1,FALSE
2010,"counterfactual",-13535.6754595637,1,FALSE
2010,"additionality",-1.49011611938477e-08,1,FALSE
2011,"project",-4443.76801769435,1,FALSE
2011,"counterfactual",-14112.1076316684,1,FALSE
2011,"additionality",9668.33961397409,1,FALSE
2012,"project",-8311.10386327654,1,TRUE
2012,"counterfactual",-14777.6247758269,1,TRUE
2012,"additionality",6466.52091255039,1,TRUE
2013,"project",-46984.4623191878,1,TRUE
2013,"counterfactual",-130430.879670374,1,TRUE
2013,"additionality",83446.4173511863,1,TRUE
2014,"project",-18555.8756493703,1,TRUE
2014,"counterfactual",-131992.486827523,1,TRUE
2014,"additionality",113436.611178152,1,TRUE
2015,"project",-33784.1655779332,1,TRUE
2015,"counterfactual",-128869.272513203,1,TRUE
2015,"additionality",95085.1069352701,1,TRUE
2016,"project",-115496.046120323,1,TRUE
2016,"counterfactual",-153189.469883651,1,TRUE
2016,"additionality",37693.4237633273,1,TRUE
2017,"project",-37892.5548773184,1,TRUE
2017,"counterfactual",-192963.289758995,1,TRUE
2017,"additionality",155070.734881677,1,TRUE
2018,"project",-81214.0527573898,1,TRUE
2018,"counterfactual",-222104.556205258,1,TRUE
2018,"additionality",140890.503447868,1,TRUE
2019,"project",-57203.032642886,1,TRUE
2019,"counterfactual",-308406.932954594,1,TRUE
2019,"additionality",251203.900311708,1,TRUE
2020,"project",-24728.9401833937,1,TRUE
2020,"counterfactual",-225589.350700267,1,TRUE
2020,"additionality",200860.410516873,1,TRUE
2021,"project",-30938.6867647022,1,TRUE
2021,"counterfactual",-148483.687242262,1,TRUE
2021,"additionality",117545.00047756,1,TRUE
1991,"project",-40607.0263786912,2,FALSE
1991,"counterfactual",-25137.6829963252,2,FALSE
1991,"additionality",-15469.343382366,2,FALSE
1992,"project",0,2,FALSE
1992,"counterfactual",0,2,FALSE
1992,"additionality",0,2,FALSE
1993,"project",0,2,FALSE
1993,"counterfactual",0,2,FALSE
1993,"additionality",0,2,FALSE
1994,"project",0,2,FALSE
1994,"counterfactual",-1933.66792280227,2,FALSE
1994,"additionality",1933.66792280227,2,FALSE
1995,"project",0,2,FALSE
1995,"counterfactual",-11602.0075367615,2,FALSE
1995,"additionality",11602.0075367615,2,FALSE
1996,"project",0,2,FALSE
1996,"counterfactual",0,2,FALSE
1996,"additionality",0,2,FALSE
1997,"project",0,2,FALSE
1997,"counterfactual",0,2,FALSE
1997,"additionality",0,2,FALSE
1998,"project",-28224.2152633443,2,FALSE
1998,"counterfactual",-64963.9057964459,2,FALSE
1998,"additionality",36739.6905331016,2,FALSE
1999,"project",-7734.67169117928,2,FALSE
1999,"counterfactual",-1933.66792279482,2,FALSE
1999,"additionality",-5801.00376838446,2,FALSE
2000,"project",-14112.107631661,2,FALSE
2000,"counterfactual",-21270.3471507579,2,FALSE
2000,"additionality",7158.23951909691,2,FALSE
2001,"project",-19336.6792279631,2,FALSE
2001,"counterfactual",-19336.6792279407,2,FALSE
2001,"additionality",-2.23517417907715e-08,2,FALSE
2002,"project",-36137.0568986312,2,FALSE
2002,"counterfactual",-19399.5627376363,2,FALSE
2002,"additionality",-16737.4941609949,2,FALSE
2003,"project",-56076.3697610497,2,FALSE
2003,"counterfactual",-42540.6943014935,2,FALSE
2003,"additionality",-13535.6754595563,2,FALSE
2004,"project",-665.517144165933,2,FALSE
2004,"counterfactual",-9668.33961396664,2,FALSE
2004,"additionality",9002.82246980071,2,FALSE
2005,"project",-11602.007536754,2,FALSE
2005,"counterfactual",-13535.6754595637,2,FALSE
2005,"additionality",1933.66792280972,2,FALSE
2006,"project",-34806.0226103067,2,FALSE
2006,"counterfactual",-50851.7981647626,2,FALSE
2006,"additionality",16045.7755544558,2,FALSE
2007,"project",-91458.8245434761,2,FALSE
2007,"counterfactual",-63811.0414522439,2,FALSE
2007,"additionality",-27647.7830912322,2,FALSE
2008,"project",-7734.67169117182,2,FALSE
2008,"counterfactual",-5801.00376838446,2,FALSE
2008,"additionality",-1933.66792278737,2,FALSE
2009,"project",-32872.3546875119,2,FALSE
2009,"counterfactual",-21270.347150743,2,FALSE
2009,"additionality",-11602.0075367689,2,FALSE
2010,"project",-23204.0150735378,2,FALSE
2010,"counterfactual",-15469.343382366,2,FALSE
2010,"additionality",-7734.67169117182,2,FALSE
2011,"project",-3867.33584559709,2,FALSE
2011,"counterfactual",-17979.4434772506,2,FALSE
2011,"additionality",14112.1076316535,2,FALSE
2012,"project",-8311.10386328399,2,TRUE
2012,"counterfactual",-15469.3433823586,2,TRUE
2012,"additionality",7158.23951907456,2,TRUE
2013,"project",-58586.4698559567,2,TRUE
2013,"counterfactual",-137793.490595914,2,TRUE
2013,"additionality",79207.0207399577,2,TRUE
2014,"project",-10244.7717860788,2,TRUE
2014,"counterfactual",-128036.066009887,2,TRUE
2014,"additionality",117791.294223808,2,TRUE
2015,"project",-47115.4696310237,2,TRUE
2015,"counterfactual",-141215.401581235,2,TRUE
2015,"additionality",94099.9319502115,2,TRUE
2016,"project",-89079.7317604125,2,TRUE
2016,"counterfactual",-150270.626975782,2,TRUE
2016,"additionality",61190.8952153698,2,TRUE
2017,"project",-33448.7868596241,2,TRUE
2017,"counterfactual",-166903.315287314,2,TRUE
2017,"additionality",133454.52842769,2,TRUE
2018,"project",-79280.3848345876,2,TRUE
2018,"counterfactual",-212871.160866588,2,TRUE
2018,"additionality",133590.776032001,2,TRUE
2019,"project",-57470.2875590473,2,TRUE
2019,"counterfactual",-342599.841345489,2,TRUE
2019,"additionality",285129.553786442,2,TRUE
2020,"project",-10040.400379613,2,TRUE
2020,"counterfactual",-214935.836101227,2,TRUE
2020,"additionality",204895.435721613,2,TRUE
2021,"project",-23780.44724565,2,TRUE
2021,"counterfactual",-142106.25130178,2,TRUE
2021,"additionality",118325.80405613,2,TRUE
1991,"project",-32872.3546875194,3,FALSE
1991,"counterfactual",-23204.0150735378,3,FALSE
1991,"additionality",-9668.33961398154,3,FALSE
1992,"project",0,3,FALSE
1992,"counterfactual",0,3,FALSE
1992,"additionality",0,3,FALSE
1993,"project",0,3,FALSE
1993,"counterfactual",0,3,FALSE
1993,"additionality",0,3,FALSE
1994,"project",0,3,FALSE
1994,"counterfactual",0,3,FALSE
1994,"additionality",0,3,FALSE
1995,"project",0,3,FALSE
1995,"counterfactual",-9668.33961396664,3,FALSE
1995,"additionality",9668.33961396664,3,FALSE
1996,"project",0,3,FALSE
1996,"counterfactual",0,3,FALSE
1996,"additionality",0,3,FALSE
1997,"project",0,3,FALSE
1997,"counterfactual",0,3,FALSE
1997,"additionality",0,3,FALSE
1998,"project",-37892.554877311,3,FALSE
1998,"counterfactual",-43117.1264736056,3,FALSE
1998,"additionality",5224.57159629464,3,FALSE
1999,"project",-13535.6754595563,3,FALSE
1999,"counterfactual",-10244.7717860788,3,FALSE
1999,"additionality",-3290.90367347747,3,FALSE
2000,"project",-12178.4397088885,3,FALSE
2000,"counterfactual",-13535.6754595563,3,FALSE
2000,"additionality",1357.23575066775,3,FALSE
2001,"project",-19336.6792279556,3,FALSE
2001,"counterfactual",-23204.0150735527,3,FALSE
2001,"additionality",3867.33584559709,3,FALSE
2002,"project",-28402.385207437,3,FALSE
2002,"counterfactual",-13509.4739971831,3,FALSE
2002,"additionality",-14892.9112102538,3,FALSE
2003,"project",-38673.3584559038,3,FALSE
2003,"counterfactual",-36739.690533109,3,FALSE
2003,"additionality",-1933.66792279482,3,FALSE
2004,"project",-8400.18883533776,3,FALSE
2004,"counterfactual",-8976.62100744247,3,FALSE
2004,"additionality",576.432172104716,3,FALSE
2005,"project",-17979.4434772506,3,FALSE
2005,"counterfactual",-7734.67169117928,3,FALSE
2005,"additionality",-10244.7717860714,3,FALSE
2006,"project",-25714.1151684448,3,FALSE
2006,"counterfactual",-37316.1227052063,3,FALSE
2006,"additionality",11602.0075367615,3,FALSE
2007,"project",-83724.1528522894,3,FALSE
2007,"counterfactual",-70853.9945368841,3,FALSE
2007,"additionality",-12870.1583154052,3,FALSE
2008,"project",-13535.6754595637,3,FALSE
2008,"counterfactual",-665.517144158483,3,FALSE
2008,"additionality",-12870.1583154052,3,FALSE
2009,"project",-18068.5284493193,3,FALSE
2009,"counterfactual",-23204.0150735453,3,FALSE
2009,"additionality",5135.48662422597,3,FALSE
2010,"project",-23869.5322176963,3,FALSE
2010,"counterfactual",-19913.1114000529,3,FALSE
2010,"additionality",-3956.4208176434,3,FALSE
2011,"project",-2510.10009489954,3,FALSE
2011,"counterfactual",-12267.5246809348,3,FALSE
2011,"additionality",9757.42458603531,3,FALSE
2012,"project",-6377.43594048172,3,TRUE
2012,"counterfactual",-8311.10386326909,3,TRUE
2012,"additionality",1933.66792278737,3,TRUE
2013,"project",-29377.0796075687,3,TRUE
2013,"counterfactual",-122528.518620037,3,TRUE
2013,"additionality",93151.4390124679,3,TRUE
2014,"project",-23576.0758391693,3,TRUE
2014,"counterfactual",-126678.830259196,3,TRUE
2014,"additionality",103102.754420027,3,TRUE
2015,"project",-53901.6483844742,3,TRUE
2015,"counterfactual",-145287.108833306,3,TRUE
2015,"additionality",91385.4604488313,3,TRUE
2016,"project",-94110.4125351533,3,TRUE
2016,"counterfactual",-146439.973177515,3,TRUE
2016,"additionality",52329.5606423616,3,TRUE
2017,"project",-39621.8513936326,3,TRUE
2017,"counterfactual",-185254.819530196,3,TRUE
2017,"additionality",145632.968136564,3,TRUE
2018,"project",-85657.8207750916,3,TRUE
2018,"counterfactual",-207416.01640147,3,TRUE
2018,"additionality",121758.195626378,3,TRUE
