"","year","low","central","high"
"1",2000,89.4493857949393,178.898771589879,268.348157384818
"2",2001,90.7966437231813,181.593287446363,272.389931169544
"3",2002,92.1641936177584,184.328387235517,276.492580853275
"4",2003,93.5523411097514,187.104682219503,280.657023329254
"5",2004,94.9613964335594,189.922792867119,284.884189300678
"6",2005,96.3916744962325,192.783348992465,289.175023488697
"7",2006,97.8434949478484,195.686989895697,293.530484843545
"8",2007,99.3171822529533,198.634364505907,297.95154675886
"9",2008,100.813065763073,201.626131526145,302.439197289218
"10",2009,102.33147979032,204.66295958064,306.99443937096
"11",2010,104,207,311
"12",2011,105,210,315
"13",2012,107,213,320
"14",2013,108,217,325
"15",2014,110,220,330
"16",2015,112,223,335
"17",2016,113,227,340
"18",2017,115,230,345
"19",2018,117,234,351
"20",2019,119,237,356
"21",2020,120,241,361
"22",2021,122,245,367
"23",2022,124,248,372
"24",2023,126,252,378
"25",2024,128,256,384
"26",2025,130,260,390
"27",2026,132,264,396
"28",2027,134,268,402
"29",2028,136,272,408
"30",2029,138,276,414
"31",2030,140,280,420
"32",2031,142,285,427
"33",2032,144,289,433
"34",2033,147,293,440
"35",2034,149,298,447
"36",2035,151,302,453
"37",2036,153,307,460
"38",2037,156,312,467
"39",2038,158,316,474
"40",2039,161,321,482
"41",2040,163,326,489
"42",2041,165,331,496
"43",2042,168,336,504
"44",2043,170,341,511
"45",2044,173,346,519
"46",2045,176,351,527
"47",2046,178,356,535
"48",2047,181,362,543
"49",2048,184,367,551
"50",2049,186,373,559
"51",2050,189,378,567
"52",2051,192,384,576
"53",2052,195,390,585
"54",2053,198,396,593
"55",2054,201,402,602
"56",2055,204,408,611
"57",2056,207,414,620
"58",2057,210,420,630
"59",2058,213,426,639
"60",2059,216,433,649
"61",2060,220,439,659
"62",2061,223,446,668
"63",2062,226,452,678
"64",2063,230,459,689
"65",2064,233,466,699
"66",2065,236,473,709
"67",2066,240,480,720
"68",2067,244,487,731
"69",2068,247,495,742
"70",2069,251,502,753
"71",2070,255,510,764
"72",2071,259,517,776
"73",2072,262,525,787
"74",2073,266,533,799
"75",2074,270,541,811
"76",2075,274,549,823
"77",2076,279,557,836
"78",2077,283,565,848
"79",2078,287,574,861
"80",2079,291,583,874
"81",2080,296,591,887
"82",2081,300,600,900
"83",2082,305,609,914
"84",2083,309,618,927
"85",2084,314,628,941
"86",2085,319,637,956
"87",2086,323,647,970
"88",2087,328,656,984
"89",2088,333,666,999
"90",2089,338,676,1014
"91",2090,343,686,1029
"92",2091,348,697,1045
"93",2092,353,707,1060
"94",2093,359,718,1076
"95",2094,364,728,1093
"96",2095,370,739,1109
"97",2096,375,750,1126
"98",2097,381,762,1142
"99",2098,387,773,1160
"100",2099,392,785,1177
"101",2100,398,796,1195
"102",2101,404.867610877993,809.735221755986,1214.60283263398
